계약일,단지명,전용면적,거래금액(만원),층,건축년도,시군구
2022-02-23,라온프라이빗스카이파크,84.77,38500,23,2020,경상북도 포항남구 대잠동
2022-04-26,라온프라이빗스카이파크,84.99,38000,26,2020,경상북도 포항남구 대잠동
2022-04-09,라온프라이빗스카이파크,84.77,37500,9,2020,경상북도 포항남구 대잠동
2022-06-12,라온프라이빗스카이파크,84.99,34700,12,2020,경상북도 포항남구 대잠동
2022-06-13,라온프라이빗스카이파크,59.76,27500,13,2020,경상북도 포항남구 대잠동
2022-08-04,라온프라이빗스카이파크,84.99,33000,4,2020,경상북도 포항남구 대잠동
2022-09-13,라온프라이빗스카이파크,84.99,33000,13,2020,경상북도 포항남구 대잠동
2022-09-17,라온프라이빗스카이파크,84.99,34000,17,2020,경상북도 포항남구 대잠동
2022-09-21,라온프라이빗스카이파크,84.77,31500,21,2020,경상북도 포항남구 대잠동
2022-10-18,라온프라이빗스카이파크,59.76,26000,21,2020,경상북도 포항남구 대잠동
