계약일,단지명,전용면적,거래금액(만원),층,시군구
2022-07-07,삼구트리니엔 시그니처,84.99,48930,25,경상북도 포항북구 득량동
2022-07-11,삼구트리니엔 시그니처,85.00,48910,21,경상북도 포항북구 득량동
2022-07-18,삼구트리니엔 시그니처,84.99,48910,19,경상북도 포항북구 득량동
2022-07-19,삼구트리니엔 시그니처,85.00,48930,23,경상북도 포항북구 득량동
2022-07-19,삼구트리니엔 시그니처,85.00,48930,15,경상북도 포항북구 득량동
2022-07-20,삼구트리니엔 시그니처,85.00,48830,29,경상북도 포항북구 득량동
2022-07-20,삼구트리니엔 시그니처,85.00,48880,20,경상북도 포항북구 득량동
2022-08-19,삼구트리니엔 시그니처,85.00,48880,26,경상북도 포항북구 득량동
2022-08-22,삼구트리니엔 시그니처,85.00,50230,29,경상북도 포항북구 득량동
2022-09-06,삼구트리니엔 시그니처,85.00,48630,25,경상북도 포항북구 득량동
2022-09-06,삼구트리니엔 시그니처,85.00,48630,14,경상북도 포항북구 득량동
2022-09-14,삼구트리니엔 시그니처,85.00,48680,15,경상북도 포항북구 득량동
2022-09-27,삼구트리니엔 시그니처,84.99,48630,27,경상북도 포항북구 득량동
