계약일,단지명,전용면적,거래금액(만원),층,시군구
2022-08-11,남포항 태왕아너스,84.84,34130,13,경상북도 포항남구 오천읍 문덕리
2022-08-12,남포항 태왕아너스,69.67,29200,9,경상북도 포항남구 오천읍 문덕리
2022-08-12,남포항 태왕아너스,69.67,29680,9,경상북도 포항남구 오천읍 문덕리
2022-11-01,남포항 태왕아너스,69.67,29200,13,경상북도 포항북구 오천읍 문덕리
2022-11-01,남포항 태왕아너스,84.84,34130,11,경상북도 포항남구 오천읍 문덕리
2022-01-03,포항 아이파크,84.51,35600,11,경상북도 포항남구 오천읍 용산리
2022-01-03,포항 아이파크,101.65,46870,17,경상북도 포항남구 오천읍 용산리
2022-01-03,포항 아이파크,84.51,35500,19,경상북도 포항남구 오천읍 용산리
2022-01-04,포항 아이파크,84.51,35600,19,경상북도 포항남구 오천읍 용산리
2022-01-04,포항 아이파크,75.91,32140,16,경상북도 포항남구 오천읍 용산리
2022-01-05,포항 아이파크,75.91,31990,10,경상북도 포항남구 오천읍 용산리
2022-01-05,포항 아이파크,84.51,35600,22,경상북도 포항남구 오천읍 용산리
2022-01-06,포항 아이파크,84.51,35550,19,경상북도 포항남구 오천읍 용산리
2022-01-08,포항 아이파크,84.51,35300,24,경상북도 포항남구 오천읍 용산리
2022-01-08,포항 아이파크,84.51,35600,25,경상북도 포항남구 오천읍 용산리
2022-01-08,포항 아이파크,84.51,35600,28,경상북도 포항남구 오천읍 용산리
2022-01-10,포항 아이파크,101.65,46790,19,경상북도 포항남구 오천읍 용산리
2022-01-10,포항 아이파크,101.65,46340,9,경상북도 포항남구 오천읍 용산리
2022-01-11,포항 아이파크,84.51,34640,2,경상북도 포항남구 오천읍 용산리
2022-01-12,포항 아이파크,84.51,35550,24,경상북도 포항남구 오천읍 용산리
2022-01-12,포항 아이파크,84.51,35600,15,경상북도 포항남구 오천읍 용산리
2022-01-13,포항 아이파크,84.51,35470,7,경상북도 포항남구 오천읍 용산리
2022-01-13,포항 아이파크,75.91,31990,25,경상북도 포항남구 오천읍 용산리
2022-01-13,포항 아이파크,84.51,35700,19,경상북도 포항남구 오천읍 용산리
2022-01-13,포항 아이파크,84.51,35600,26,경상북도 포항남구 오천읍 용산리
2022-01-14,포항 아이파크,75.91,31790,6,경상북도 포항남구 오천읍 용산리
2022-01-14,포항 아이파크,84.51,35600,17,경상북도 포항남구 오천읍 용산리
2022-01-15,포항 아이파크,84.51,35600,22,경상북도 포항남구 오천읍 용산리
2022-01-16,포항 아이파크,84.51,35600,24,경상북도 포항남구 오천읍 용산리
2022-01-20,포항 아이파크,84.51,35350,13,경상북도 포항남구 오천읍 용산리
2022-01-21,포항 아이파크,84.51,35600,23,경상북도 포항남구 오천읍 용산리
2022-01-21,포항 아이파크,84.51,35600,13,경상북도 포항남구 오천읍 용산리
2022-01-23,포항 아이파크,84.51,35600,22,경상북도 포항남구 오천읍 용산리
2022-01-24,포항 아이파크,84.51,35600,23,경상북도 포항남구 오천읍 용산리
2022-01-25,포항 아이파크,84.51,35600,11,경상북도 포항남구 오천읍 용산리
2022-01-25,포항 아이파크,84.51,35600,18,경상북도 포항남구 오천읍 용산리
