계약일,단지명,전용면적,거래금액(만원),층,건축년도,시군구
2022-02-23,라온프라이빗스카이파크,84.7747,38500,23,2020,경상북도 포항남구 대잠동
2022-04-26,라온프라이빗스카이파크,84.9872,38000,26,2020,경상북도 포항남구 대잠동
2022-04-09,라온프라이빗스카이파크,84.7747,37500,9,2020,경상북도 포항남구 대잠동
2022-06-12,라온프라이빗스카이파크,84.9872,34700,12,2020,경상북도 포항남구 대잠동
2022-06-13,라온프라이빗스카이파크,59.7622,27500,13,2020,경상북도 포항남구 대잠동
2022-08-04,라온프라이빗스카이파크,84.9872,33000,4,2020,경상북도 포항남구 대잠동
2022-09-13,라온프라이빗스카이파크,84.9872,33000,13,2020,경상북도 포항남구 대잠동
2022-09-17,라온프라이빗스카이파크,84.9872,34000,17,2020,경상북도 포항남구 대잠동
2022-09-21,라온프라이빗스카이파크,84.7747,31500,21,2020,경상북도 포항남구 대잠동
2022-10-18,라온프라이빗스카이파크,59.7622,26000,21,2020,경상북도 포항남구 대잠동
2023-03-22,라온프라이빗스카이파크,84.9872,29500,3,2020,경상북도 포항남구 대잠동
2023-03-24,라온프라이빗스카이파크,84.9872,33000,21,2020,경상북도 포항남구 대잠동
2023-03-29,라온프라이빗스카이파크,84.9872,29000,9,2020,경상북도 포항남구 대잠동
2023-04-13,라온프라이빗스카이파크,84.9872,30700,19,2020,경상북도 포항남구 대잠동
2023-07-12,라온프라이빗스카이파크,84.7742,33200,32,2020,경상북도 포항남구 대잠동
2023-07-20,라온프라이빗스카이파크,59.7622,24500,29,2020,경상북도 포항남구 대잠동
2023-07-29,라온프라이빗스카이파크,84.9872,34500,21,2020,경상북도 포항남구 대잠동
2023-08-23,라온프라이빗스카이파크,59.4749,25100,27,2020,경상북도 포항남구 대잠동
2023-09-17,라온프라이빗스카이파크,59.7622,2700,28,2020,경상북도 포항남구 대잠동
2023-09-20,라온프라이빗스카이파크,84.9872,30900,15,2020,경상북도 포항남구 대잠동
2023-09-24,라온프라이빗스카이파크,59.7622,25500,31,2020,경상북도 포항남구 대잠동
2023-10-03,라온프라이빗스카이파크,59.7622,25800,28,2020,경상북도 포항남구 대잠동
2023-10-04,라온프라이빗스카이파크,84.7747,30000,8,2020,경상북도 포항남구 대잠동
2022-01-30,포항자이아파트,84.9388,53000,30,2018,경상북도 포항남구 대잠동
2022-02-19,포항자이아파트,72.9547,47000,19,2018,경상북도 포항남구 대잠동
2022-03-15,포항자이아파트,72.9547,43000,15,2018,경상북도 포항남구 대잠동
2022-04-11,포항자이아파트,72.9547,46000,11,2018,경상북도 포항남구 대잠동
2022-04-17,포항자이아파트,72.9179,42000,17,2018,경상북도 포항남구 대잠동
2022-05-08,포항자이아파트,72.9179,42000,8,2018,경상북도 포항남구 대잠동
2022-05-10,포항자이아파트,84.9526,50000,10,2018,경상북도 포항남구 대잠동
2022-05-16,포항자이아파트,72.9179,44300,16,2018,경상북도 포항남구 대잠동
2022-05-22,포항자이아파트,84.9388,49500,22,2018,경상북도 포항남구 대잠동
2022-06-05,포항자이아파트,84.9625,48000,5,2018,경상북도 포항남구 대잠동
2022-06-06,포항자이아파트,72.9179,43000,6,2018,경상북도 포항남구 대잠동
2022-06-19,포항자이아파트,84.9526,55000,19,2018,경상북도 포항남구 대잠동
2022-06-28,포항자이아파트,84.9526,54500,28,2018,경상북도 포항남구 대잠동
2022-06-30,포항자이아파트,84.9526,49500,30,2018,경상북도 포항남구 대잠동
2022-07-04,포항자이아파트,84.9526,43400,4,2018,경상북도 포항남구 대잠동
2022-07-17,포항자이아파트,84.9526,46500,17,2018,경상북도 포항남구 대잠동
2022-07-28,포항자이아파트,84.9388,45000,28,2018,경상북도 포항남구 대잠동
2022-07-28,포항자이아파트,98.1682,52000,28,2018,경상북도 포항남구 대잠동
2022-07-30,포항자이아파트,72.9547,42500,30,2018,경상북도 포항남구 대잠동
2022-08-10,포항자이아파트,84.9526,45900,10,2018,경상북도 포항남구 대잠동
2022-08-13,포항자이아파트,84.9388,44900,13,2018,경상북도 포항남구 대잠동
2022-08-27,포항자이아파트,84.9526,46500,27,2018,경상북도 포항남구 대잠동
2022-09-07,포항자이아파트,84.9625,45500,7,2018,경상북도 포항남구 대잠동
2022-09-14,포항자이아파트,98.1682,51900,14,2018,경상북도 포항남구 대잠동
2022-09-23,포항자이아파트,84.9625,52900,23,2018,경상북도 포항남구 대잠동
2022-10-19,포항자이아파트,84.9526,46400,21,2018,경상북도 포항남구 대잠동
2022-11-15,포항자이아파트,98.1682,55000,31,2018,경상북도 포항남구 대잠동
2022-12-01,포항자이아파트,113.7229,53000,13,2018,경상북도 포항남구 대잠동
2022-12-19,포항자이아파트,84.9526,41000,32,2018,경상북도 포항남구 대잠동
2023-02-15,포항자이아파트,113.7229,67000,10,2018,경상북도 포항남구 대잠동
2023-03-06,포항자이아파트,72.9179,40400,18,2018,경상북도 포항남구 대잠동
2023-03-07,포항자이아파트,98.1682,50900,32,2018,경상북도 포항남구 대잠동
2023-03-08,포항자이아파트,84.9625,40000,8,2018,경상북도 포항남구 대잠동
2023-03-09,포항자이아파트,72.9547,36500,7,2018,경상북도 포항남구 대잠동
2023-03-11,포항자이아파트,98.1682,47400,28,2018,경상북도 포항남구 대잠동
2023-03-12,포항자이아파트,72.9179,33800,30,2018,경상북도 포항남구 대잠동
2023-04-20,포항자이아파트,72.9179,35000,20,2018,경상북도 포항남구 대잠동
2023-05-01,포항자이아파트,84.9526,45800,29,2018,경상북도 포항남구 대잠동
2023-05-25,포항자이아파트,84.9625,40000,14,2018,경상북도 포항남구 대잠동
2023-05-31,포항자이아파트,84.9388,44000,24,2018,경상북도 포항남구 대잠동
2023-07-31,포항자이아파트,84.9526,43330,9,2018,경상북도 포항남구 대잠동
2023-08-01,포항자이아파트,72.9547,39500,24,2018,경상북도 포항남구 대잠동
2023-08-04,포항자이아파트,84.9388,43800,19,2018,경상북도 포항남구 대잠동
2023-08-07,포항자이아파트,84.9625,49000,25,2018,경상북도 포항남구 대잠동
2023-08-12,포항자이아파트,84.9526,46350,12,2018,경상북도 포항남구 대잠동
2023-08-29,포항자이아파트,84.9388,4100,25,2018,경상북도 포항남구 대잠동
2023-09-18,포항자이아파트,84.9625,46000,12,2018,경상북도 포항남구 대잠동
2023-09-21,포항자이아파트,84.9526,46500,29,2018,경상북도 포항남구 대잠동
2023-09-21,포항자이아파트,72.9179,36700,4,2018,경상북도 포항남구 대잠동
2023-09-24,포항자이아파트,98.1682,48700,24,2018,경상북도 포항남구 대잠동
2023-09-25,포항자이아파트,84.9526,45500,5,2018,경상북도 포항남구 대잠동
2023-09-26,포항자이아파트,84.9526,45000,26,2018,경상북도 포항남구 대잠동
2023-10-06,포항자이아파트,84.9526,47000,12,2018,경상북도 포항남구 대잠동
2023-10-06,포항자이아파트,72.9179,41500,10,2018,경상북도 포항남구 대잠동
2023-10-09,포항자이아파트,84.9526,44300,13,2018,경상북도 포항남구 대잠동
2023-10-11,포항자이아파트,72.9547,35500,3,2018,경상북도 포항남구 대잠동
2023-10-14,포항자이아파트,98.1682,46800,24,2018,경상북도 포항남구 대잠동
2023-10-18,포항자이아파트,84.9625,49000,24,2018,경상북도 포항남구 대잠동
2023-10-26,포항자이아파트,84.9388,45500,27,2018,경상북도 포항남구 대잠동
2023-11-01,포항자이아파트,84.9388,45000,6,2018,경상북도 포항남구 대잠동
2023-05-18,힐스테이트포항,74.8151,27091,15,2023,경상북도 포항남구 오천읍 원리
2023-05-25,힐스테이트포항,59.9785,22099,6,2023,경상북도 포항남구 오천읍 원리
2023-05-29,힐스테이트포항,84.8786,29152,17,2023,경상북도 포항남구 오천읍 원리
2023-05-30,힐스테이트포항,59.9785,21921,9,2023,경상북도 포항남구 오천읍 원리
2023-06-09,힐스테이트포항,84.8786,31000,12,2023,경상북도 포항남구 오천읍 원리
2023-06-12,힐스테이트포항,84.8786,30572,14,2023,경상북도 포항남구 오천읍 원리
2023-06-14,힐스테이트포항,84.8786,30811,8,2023,경상북도 포항남구 오천읍 원리
2023-06-14,힐스테이트포항,84.8786,30333,8,2023,경상북도 포항남구 오천읍 원리
2023-06-14,힐스테이트포항,59.9785,21725,7,2023,경상북도 포항남구 오천읍 원리
2023-06-20,힐스테이트포항,74.8151,25000,16,2023,경상북도 포항남구 오천읍 원리
2023-06-20,힐스테이트포항,74.8151,25617,15,2023,경상북도 포항남구 오천읍 원리
2023-06-28,힐스테이트포항,59.9785,22069,13,2023,경상북도 포항남구 오천읍 원리
2023-06-30,힐스테이트포항,74.8151,36879,10,2023,경상북도 포항남구 오천읍 원리
2023-07-10,힐스테이트포항,84.8786,27,333,12,경상북도 포항남구 오천읍 원리
2023-07-12,힐스테이트포항,84.8786,28,336,8,경상북도 포항남구 오천읍 원리
2023-07-12,힐스테이트포항,84.8786,30,572,17,경상북도 포항남구 오천읍 원리
2023-07-13,힐스테이트포항,59.9785,21,121,7,경상북도 포항남구 오천읍 원리
2023-07-14,힐스테이트포항,74.8151,25,711,11,경상북도 포항남구 오천읍 원리
2023-07-14,힐스테이트포항,84.8786,29,856,9,경상북도 포항남구 오천읍 원리
2023-07-14,힐스테이트포항,84.8786,29,856,9,경상북도 포항남구 오천읍 원리
2023-07-17,힐스테이트포항,74.6624,26,148,8,경상북도 포항남구 오천읍 원리
2023-07-17,힐스테이트포항,74.9627,27,024,16,경상북도 포항남구 오천읍 원리
2023-07-18,힐스테이트포항,84.8786,32,000,11,경상북도 포항남구 오천읍 원리
